Using a 4-gram for the Lunyu:
Xi quoted 62 verses a total of 151 times.
Han quoted 86 verses a total of 145 times.
Tang quoted 147 verses a total of 404 times.

Verse		Total	Xi	Han	Tang
10.20		0	0	0	0
11.1		0	0	0	0
11.2		0	0	0	0
11.3		0	0	0	0
11.4		1	0	1	0
11.5		0	0	0	0
11.6		0	0	0	0
11.7		1	0	0	1
11.8		0	0	0	0
11.9		0	0	0	0
11.10		0	0	0	0
11.11		0	0	0	0
11.12		0	0	0	0
11.13		0	0	0	0
11.14		1	0	1	0
11.15		0	0	0	0
11.16		0	0	0	0
11.17		1	0	0	1
11.18		0	0	0	0
11.19		0	0	0	0
11.20		0	0	0	0
11.21		0	0	0	0
11.22		2	0	0	2
11.23		1	0	0	1
11.24		7	2	1	4
12.1		6	0	1	5
12.2		12	12	0	0
12.3		0	0	0	0
12.4		0	0	0	0
12.5		11	2	2	7
12.6		1	0	0	1
12.7		12	1	1	10
12.8		0	0	0	0
12.9		10	0	1	9
12.10		0	0	0	0
12.11		2	0	0	2
12.12		0	0	0	0
12.13		1	0	0	1
12.14		0	0	0	0
12.15		1	0	0	1
12.16		5	0	3	2
12.17		2	1	1	0
12.18		0	0	0	0
12.19		1	0	0	1
12.20		1	0	0	1
12.21		0	0	0	0
12.22		1	0	0	1
12.23		0	0	0	0
12.24		0	0	0	0
13.1		0	0	0	0
13.2		1	0	0	1
13.3		8	0	5	3
13.4		1	0	0	1
13.5		2	0	0	2
13.6		0	0	0	0
13.7		3	0	0	3
13.8		0	0	0	0
13.9		0	0	0	0
13.10		1	0	0	1
13.11		3	0	0	3
13.12		0	0	0	0
13.13		0	0	0	0
13.14		0	0	0	0
13.15		6	0	0	6
13.16		0	0	0	0
13.17		2	1	0	1
13.18		5	0	5	0
13.19		1	0	1	0
13.20		5	3	0	2
13.21		1	1	0	0
13.22		4	0	1	3
13.23		21	21	0	0
13.24		1	1	0	0
13.25		1	1	0	0
13.26		0	0	0	0
13.27		0	0	0	0
13.28		0	0	0	0
13.29		0	0	0	0
13.30		2	0	0	2
14.1		0	0	0	0
14.2		1	0	1	0
14.3		0	0	0	0
14.4		0	0	0	0
14.5		1	0	0	1
14.6		1	0	0	1
14.7		0	0	0	0
14.8		0	0	0	0
14.9		0	0	0	0
14.10		0	0	0	0
14.11		0	0	0	0
14.12		5	0	0	5
14.13		2	0	0	2
14.14		0	0	0	0
14.15		0	0	0	0
14.16		0	0	0	0
14.17		7	0	0	7
14.18		0	0	0	0
14.19		0	0	0	0
14.20		0	0	0	0
14.21		1	0	1	0
14.22		0	0	0	0
14.23		0	0	0	0
14.24		0	0	0	0
14.25		1	0	0	1
14.26		0	0	0	0
14.27		0	0	0	0
14.28		0	0	0	0
14.29		0	0	0	0
14.30		0	0	0	0
14.31		1	1	0	0
14.32		0	0	0	0
14.33		1	0	1	0
14.34		0	0	0	0
14.35		4	1	2	1
14.36		0	0	0	0
14.37		0	0	0	0
14.38		0	0	0	0
14.39		1	0	0	1
14.40		0	0	0	0
14.41		4	0	3	1
14.42		0	0	0	0
14.43		7	0	2	5
14.44		0	0	0	0
14.45		0	0	0	0
15.1		5	0	0	5
15.2		0	0	0	0
15.3		5	4	0	1
15.4		0	0	0	0
15.5		1	0	0	1
15.6		3	0	1	2
15.7		0	0	0	0
15.8		1	0	0	1
15.9		2	1	1	0
15.10		1	0	1	0
15.11		0	0	0	0
15.12		1	1	0	0
15.13		0	0	0	0
15.14		0	0	0	0
15.45		0	0	0	0
15.46		1	0	0	1
15.17		0	0	0	0
15.18		3	3	0	0
15.19		1	1	0	0
15.20		0	0	0	0
15.21		0	0	0	0
15.22		0	0	0	0
15.23		0	0	0	0
15.24		12	12	0	0
15.25		1	0	0	1
15.26		0	0	0	0
15.27		0	0	0	0
15.28		0	0	0	0
15.29		0	0	0	0
15.30		3	0	3	0
15.31		0	0	0	0
15.32		3	0	2	1
15.33		0	0	0	0
15.34		0	0	0	0
15.35		0	0	0	0
15.36		1	1	0	0
15.37		0	0	0	0
15.38		0	0	0	0
15.39		1	1	0	0
15.40		0	0	0	0
15.41		0	0	0	0
15.42		0	0	0	0
16.1		22	4	4	14
16.2		1	0	0	1
16.3		0	0	0	0
16.4		1	1	0	0
16.5		0	0	0	0
16.6		0	0	0	0
16.7		0	0	0	0
16.8		1	0	1	0
16.9		0	0	0	0
16.10		0	0	0	0
16.11		1	0	0	1
16.12		4	0	1	3
16.13		0	0	0	0
16.14		0	0	0	0
17.1		0	0	0	0
17.2		0	0	0	0
17.3		0	0	0	0
17.4		0	0	0	0
17.5		3	1	1	1
17.6		2	0	0	2
17.7		0	0	0	0
17.8		1	0	0	1
17.9		0	0	0	0
17.10		0	0	0	0
17.11		0	0	0	0
17.12		0	0	0	0
17.13		1	0	0	1
17.14		0	0	0	0
17.15		0	0	0	0
17.16		1	0	1	0
17.17		1	0	0	1
17.18		0	0	0	0
17.19		7	0	1	6
17.20		1	0	1	0
17.21		2	2	0	0
17.22		0	0	0	0
17.23		0	0	0	0
17.24		0	0	0	0
18.1		0	0	0	0
18.2		2	0	0	2
18.3		0	0	0	0
18.4		0	0	0	0
18.5		1	1	0	0
18.6		1	0	0	1
18.7		24	0	2	22
18.8		2	0	1	1
18.9		0	0	0	0
18.10		1	0	1	0
18.11		0	0	0	0
19.1		3	0	0	3
19.2		2	0	2	0
19.3		0	0	0	0
19.4		3	0	0	3
19.5		0	0	0	0
19.6		2	0	2	0
19.7		0	0	0	0
19.8		0	0	0	0
19.9		0	0	0	0
19.10		0	0	0	0
19.11		0	0	0	0
19.12		4	0	1	3
19.13		0	0	0	0
19.14		0	0	0	0
19.15		0	0	0	0
19.16		0	0	0	0
19.17		0	0	0	0
19.18		3	0	1	2
19.19		3	0	2	1
19.20		4	0	0	4
19.21		1	0	0	1
19.22		10	0	0	10
19.23		2	0	1	1
19.24		0	0	0	0
19.25		4	1	1	2
20.1		46	0	11	35
20.2		1	0	0	1
20.3		0	0	0	0


