	论语	汉唐	习
巍:	6	4	0
俭:	6	4	0
节:	6	4	0
间:	6	3	2
治:	6	3	0
约:	6	3	0
施:	6	2	39	****
各:	6	2	5
舍:	6	2	0
旧:	6	2	0
切:	6	2	0
荡:	6	1	6
末:	6	1	0
谷:	6	1	0
闵:	6	1	0
尽:	6	1	0
庄:	6	1	0
没:	6	1	0
尼:	6	0	0
怡:	6	0	0
趋:	6	0	0
拜:	6	0	0
气:	6	0	0
饭:	6	0	0
肉:	6	0	0
识:	6	0	0
变:	6	0	0
动:	6	0	0
手:	6	0	0
辞:	6	0	0
愿:	6	0	0
墙:	6	0	0
寝:	6	0	0
贾:	6	0	0
笑:	6	0	0
弗:	6	0	0
损:	6	0	0
器:	6	0	0
心:	6	0	0
七:	6	0	0
免:	6	0	0
辱:	6	0	0
刑:	5	7	0
温:	5	3	3
军:	5	3	0
弃:	5	3	0
禄:	5	2	0
草:	5	1	0
侯:	5	1	0
鼓:	5	1	0
守:	5	1	0
博:	5	1	0
骞:	5	1	0
章:	5	1	0
数:	5	1	0
喜:	5	1	0
里:	5	1	0
木:	5	1	0
征:	5	1	0
本:	5	0	16	****
任:	5	0	13	****
谏:	5	0	8	****
射:	5	0	4
诲:	5	0	4
夺:	5	0	2
宿:	5	0	2
倦:	5	0	1
戒:	5	0	0
臾:	5	0	0
颛:	5	0	0
矜:	5	0	0
景:	5	0	0
贼:	5	0	0
鲤:	5	0	0
阶:	5	0	0
臧:	5	0	0
玉:	5	0	0
禹:	5	0	0
鄙:	5	0	0
厉:	5	0	0
恆:	5	0	0
忘:	5	0	0
歌:	5	0	0
衰:	5	0	0
甚:	5	0	0
尧:	5	0	0
九:	5	0	0
华:	5	0	0
侍:	5	0	0
微:	5	0	0
希:	5	0	0
他:	5	0	0
尹:	5	0	0
刚:	5	0	0
宾:	5	0	0
妻:	5	0	0
几:	5	0	0
盖:	5	0	0
饮:	5	0	0
放:	5	0	0
堂:	5	0	0
雍:	5	0	0
鬼:	5	0	0
书:	5	0	0
阙:	5	0	0
酒:	5	0	0
因:	5	0	0
抑:	5	0	0
厚:	5	0	0
主:	5	0	0
余:	5	0	0
千:	5	0	0
鲜:	5	0	0
海:	4	9	4
旅:	4	4	0
报:	4	3	1
高:	4	3	0
官:	4	3	0
择:	4	2	4
匡:	4	2	0
欺:	4	2	0
左:	4	2	0
商:	4	2	0
发:	4	2	0
谅:	4	1	4
弘:	4	1	4
鸟:	4	1	0
雅:	4	1	0
恐:	4	1	0
宽:	4	1	0
攻:	4	1	0
重:	4	0	22	****
果:	4	0	5	****
殆:	4	0	5	****
交:	4	0	4
伤:	4	0	1
逸:	4	0	0
阳:	4	0	0
毁:	4	0	0
群:	4	0	0
柳:	4	0	0
声:	4	0	0
偲:	4	0	0
硁:	4	0	0
崇:	4	0	0
庶:	4	0	0
瑟:	4	0	0
恸:	4	0	0
李:	4	0	0
风:	4	0	0
东:	4	0	0
杖:	4	0	0
坐:	4	0	0
席:	4	0	0
鱼:	4	0	0
誾:	4	0	0
侃:	4	0	0
便:	4	0	0
困:	4	0	0
待:	4	0	0
沽:	4	0	0
前:	4	0	0
绝:	4	0	0
宫:	4	0	0
昔:	4	0	0
西:	4	0	0
童:	4	0	0
畔:	4	0	0
觚:	4	0	0
水:	4	0	0
胜:	4	0	0
偃:	4	0	0
艺:	4	0	0
粟:	4	0	0
幸:	4	0	0
疏:	4	0	0
贱:	4	0	0
羊:	4	0	0
祷:	4	0	0
兮:	4	0	0
揖:	4	0	0
舞:	4	0	0
错:	4	0	0
干:	4	0	0
察:	4	0	0
养:	4	0	0
葬:	4	0	0
御:	4	0	0
踰:	4	0	0
共:	4	0	0
威:	4	0	0
省:	4	0	0
巧:	4	0	0
犯:	4	0	0
稷:	3	8	0
